,force_mean_abs,force_mean_abs,force_mean_abs,force_p95_abs,force_p95_abs,force_p95_abs,force_variance,force_variance,force_variance,force_std,force_std,force_std,force_impulse_per_s,force_impulse_per_s,force_impulse_per_s,force_gt5_pct,force_gt5_pct,force_gt5_pct,force_gt10_pct,force_gt10_pct,force_gt10_pct,force_gt15_pct,force_gt15_pct,force_gt15_pct,best_abs_force_cmd_corr,best_abs_force_cmd_corr,best_abs_force_cmd_corr,best_lag_sec,best_lag_sec,best_lag_sec,odom_accel_p95_abs,odom_accel_p95_abs,odom_accel_p95_abs,odom_jerk_p95_abs,odom_jerk_p95_abs,odom_jerk_p95_abs
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admittance,10.53223344850732,2.7274756072320887,5,28.500184621961886,7.55142890971301,5,158.1765969575505,26.54366848349563,5,12.54268469444296,1.0354091059436483,5,10.531928723642466,2.7275316038296196,5,67.1886324882394,5.513983998478288,5,42.114037498277376,9.526026986479911,5,23.456445171691268,11.581504112859866,5,0.47394690863392386,0.0994953395027192,5,-0.13199999999999834,0.6576625274409367,5,2.5473468331211917,0.3235034983895111,5,213.235177660847,34.59699704711032,5
keyboard,15.971334329022358,6.163745178533424,5,40.287978146528594,9.266671022305037,5,249.7398140058155,24.7644802362266,5,15.787245046207511,0.7927072732194248,5,16.00343143188136,6.144950930158313,5,76.34932927172358,12.787954366770146,5,57.42713334989004,16.989786814036872,5,41.439549037664754,19.684488100625842,5,0.6192571913736489,0.08194888282515461,5,-0.23599999999999843,0.04774934554525333,5,2.5090011993771704,0.38807107777011046,5,210.0773452592705,48.85538147037472,5
