scene,admit_force_mean_abs,key_force_mean_abs,admit_force_variance,key_force_variance,admit_force_gt10_pct,key_force_gt10_pct,admit_force_impulse_per_s,key_force_impulse_per_s,admit_corr,key_corr,admit_odom_jerk_p95_abs,key_odom_jerk_p95_abs
1,9.280608452198921,11.489241633698011,138.13793219633936,230.35706592559933,40.7988590330148,39.2334720069757,9.280507579332244,11.663738168306159,0.34803559122334754,0.6714055432516834,196.29153881515268,196.69056068814453
2,9.696174653381462,11.544571234623367,167.32054121564468,216.54417363380958,37.54446539680045,48.128316488634596,9.696825117676886,11.535795683513646,0.4644028171008513,0.6748788183670978,202.72311234409165,204.78660142074847
3,9.376598197629477,26.335322474196733,153.76623900484964,272.4903555607714,35.220643487506834,84.5166066949966,9.376849081674804,26.35876093177381,0.41337670444958446,0.5552907381825372,274.908013830949,291.3113097989748
4,8.921565536241033,16.62410809509838,132.68904284145069,262.1003968655337,38.22666325642454,58.89618129978921,8.919616848992808,16.611093072651215,0.5915909487270729,0.5079177965564706,196.92461587856224,198.6054945726878
5,15.386220403085707,13.863428207495298,198.96922952946807,267.2070780433637,58.779556317640285,56.361090259054095,15.385844990535588,13.847769303161968,0.5523284816687631,0.6867930605104551,195.32860743547957,158.99275981579686
