scene,mode,threshold,pct
1.0,admittance,10,23.722171426387252
1.0,admittance,15,12.006801311704448
1.0,admittance,20,5.628181574526706
1.0,admittance,25,2.454357688732168
1.0,admittance,30,0.868107275834333
1.0,admittance,35,0.3064181255009552
1.0,admittance,40,0.20493844444996434
1.0,admittance,10,40.7988590330148
1.0,admittance,15,18.507257231803543
1.0,admittance,20,5.641283862444384
1.0,admittance,25,3.452282836200305
1.0,admittance,30,2.1376894751343483
1.0,admittance,35,1.316445478455912
1.0,admittance,40,0.6550202147808551
1.0,keyboard,10,42.37672950508908
1.0,keyboard,15,24.011014397998412
1.0,keyboard,20,15.350449650832298
1.0,keyboard,25,8.43002119466544
1.0,keyboard,30,5.194650672096937
1.0,keyboard,35,2.900819411005199
1.0,keyboard,40,1.2262112081704422
1.0,keyboard,10,39.2334720069757
1.0,keyboard,15,27.444438951871415
1.0,keyboard,20,20.90709043803326
1.0,keyboard,25,14.642000837616559
1.0,keyboard,30,9.384168323740514
1.0,keyboard,35,5.680196642526386
1.0,keyboard,40,3.551311103096955
2.0,admittance,10,31.40867591243241
2.0,admittance,15,13.000218154647571
2.0,admittance,20,5.832446883351996
2.0,admittance,25,2.918363454181196
2.0,admittance,30,1.396563839626573
2.0,admittance,35,0.7889500709358972
2.0,admittance,40,0.11942970211597563
2.0,admittance,10,37.54446539680045
2.0,admittance,15,18.92188890306327
2.0,admittance,20,12.174520252753007
2.0,admittance,25,8.651881987254992
2.0,admittance,30,5.241354394048946
2.0,admittance,35,2.362412360644016
2.0,admittance,40,1.0382360957233223
2.0,keyboard,10,45.171071246519475
2.0,keyboard,15,26.246479120577842
2.0,keyboard,20,16.13800613172907
2.0,keyboard,25,11.13089998688861
2.0,keyboard,30,7.788075537870233
2.0,keyboard,35,5.867348960183294
2.0,keyboard,40,4.3233405047568025
2.0,keyboard,10,48.128316488634596
2.0,keyboard,15,24.936173904102628
2.0,keyboard,20,12.644843965439252
2.0,keyboard,25,8.618868019551632
2.0,keyboard,30,5.368553333082667
2.0,keyboard,35,3.7776139024863964
2.0,keyboard,40,2.1389198211108047
3.0,admittance,10,31.746546246912207
3.0,admittance,15,21.240727907071193
3.0,admittance,20,12.763141127675567
3.0,admittance,25,7.86919494105474
3.0,admittance,30,4.512518138745727
3.0,admittance,35,2.2018880287424736
3.0,admittance,40,1.0995633458682152
3.0,admittance,10,35.220643487506834
3.0,admittance,15,19.365148211199323
3.0,admittance,20,11.884098018008387
3.0,admittance,25,7.7994864855104415
3.0,admittance,30,4.509618339023891
3.0,admittance,35,2.231884071077437
3.0,admittance,40,0.6897602153469933
3.0,keyboard,10,39.83007865862372
3.0,keyboard,15,20.821419073484034
3.0,keyboard,20,11.06539648861395
3.0,keyboard,25,6.7248241551483225
3.0,keyboard,30,4.242900442861782
3.0,keyboard,35,2.1542267681117346
3.0,keyboard,40,1.123480140000289
3.0,keyboard,10,84.5166066949966
3.0,keyboard,15,73.59335913228071
3.0,keyboard,20,62.15892458196988
3.0,keyboard,25,49.530702803481496
3.0,keyboard,30,38.625293554565076
3.0,keyboard,35,26.91985844065637
3.0,keyboard,40,18.639761102323835
4.0,admittance,10,28.71600132466848
4.0,admittance,15,13.927016021941172
4.0,admittance,20,7.242491717825526
4.0,admittance,25,4.434448727342176
4.0,admittance,30,2.2429877955505164
4.0,admittance,35,0.9552152868515458
4.0,admittance,40,0.337384412668046
4.0,admittance,10,38.22666325642454
4.0,admittance,15,16.41304557606936
4.0,admittance,20,7.123133057795676
4.0,admittance,25,3.4668517805052064
4.0,admittance,30,1.3754804345852374
4.0,admittance,35,0.8528455753807278
4.0,admittance,40,0.3318484841290998
4.0,keyboard,10,20.654694051806814
4.0,keyboard,15,8.057697900130552
4.0,keyboard,20,3.1194936224357925
4.0,keyboard,25,0.9844889578080631
4.0,keyboard,30,0.3809829580360531
4.0,keyboard,35,0.0
4.0,keyboard,40,0.0
4.0,keyboard,10,58.89618129978921
4.0,keyboard,15,45.43133865396219
4.0,keyboard,20,33.95674466784375
4.0,keyboard,25,23.40148566854915
4.0,keyboard,30,17.00556757165283
4.0,keyboard,35,11.03106551099324
4.0,keyboard,40,7.5965679463118745
5.0,admittance,10,43.18337015570769
5.0,admittance,15,18.49677856283003
5.0,admittance,20,5.742767779095258
5.0,admittance,25,2.837356749121991
5.0,admittance,30,1.8278541830964905
5.0,admittance,35,1.0746034300278797
5.0,admittance,40,0.5689926154041612
5.0,admittance,10,58.779556317640285
5.0,admittance,15,44.074885936320854
5.0,admittance,20,30.7540348017347
5.0,admittance,25,20.571949424568338
5.0,admittance,30,13.0842743304819
5.0,admittance,35,8.172605940244745
5.0,admittance,40,4.9494090722078505
5.0,keyboard,10,75.40681062304478
5.0,keyboard,15,56.71779387801217
5.0,keyboard,20,33.785897413811846
5.0,keyboard,25,13.318258834066075
5.0,keyboard,30,4.019611692736827
5.0,keyboard,35,1.3561550505778512
5.0,keyboard,40,0.24351659084980898
5.0,keyboard,10,56.361090259054095
5.0,keyboard,15,35.792434546106826
5.0,keyboard,20,21.16553645494603
5.0,keyboard,25,13.882708939299196
5.0,keyboard,30,9.623229025701326
5.0,keyboard,35,5.773531219552075
5.0,keyboard,40,3.199320739779682
,unknown,10,36.30637398301691
,unknown,15,25.401461114946507
,unknown,20,19.860254016159683
,unknown,25,14.370791383236028
,unknown,30,11.08211206120801
,unknown,35,7.965914750882372
,unknown,40,5.362349940945761
,unknown,10,63.25896520500312
,unknown,15,45.33409708459077
,unknown,20,29.590911331149098
,unknown,25,15.572396606306903
,unknown,30,8.059996076452414
,unknown,35,5.862284973914699
,unknown,40,5.052189465885102
,unknown,10,61.75335954530227
,unknown,15,49.175939730621835
,unknown,20,38.80206426445065
,unknown,25,31.177501756865688
,unknown,30,24.452377129307365
,unknown,35,19.140278807106753
,unknown,40,13.440760353420433
,unknown,10,48.08883044211292
,unknown,15,32.83273016303682
,unknown,20,20.813544581093595
,unknown,25,12.328446518423503
,unknown,30,7.109645099342987
,unknown,35,3.594984246231252
,unknown,40,1.4613850627368357
