scene,admit_force_mean_abs,key_force_mean_abs,reduction_force_mean_abs_pct,admit_force_p95_abs,key_force_p95_abs,reduction_force_p95_abs_pct,admit_force_variance,key_force_variance,reduction_force_variance_pct,admit_force_impulse_per_s,key_force_impulse_per_s,reduction_force_impulse_per_s_pct,admit_force_gt10_pct,key_force_gt10_pct,reduction_force_gt10_pct_pct,admit_force_gt15_pct,key_force_gt15_pct,reduction_force_gt15_pct_pct,admit_force_gt20_pct,key_force_gt20_pct,reduction_force_gt20_pct_pct,admit_force_gt25_pct,key_force_gt25_pct,reduction_force_gt25_pct_pct,admit_force_gt30_pct,key_force_gt30_pct,reduction_force_gt30_pct_pct,admit_force_gt35_pct,key_force_gt35_pct,reduction_force_gt35_pct_pct,admit_force_gt40_pct,key_force_gt40_pct,reduction_force_gt40_pct_pct,admit_best_abs_force_cmd_corr,key_best_abs_force_cmd_corr,reduction_best_abs_force_cmd_corr_pct,admit_best_lag_sec,key_best_lag_sec,reduction_best_lag_sec_pct,admit_odom_accel_p95_abs,key_odom_accel_p95_abs,reduction_odom_accel_p95_abs_pct,admit_odom_jerk_p95_abs,key_odom_jerk_p95_abs,reduction_odom_jerk_p95_abs_pct
1,6.819635147837121,10.77714325209603,36.721309271723925,20.966985495681044,30.353444493796616,30.923867635628298,70.55384647517205,160.70215193498547,56.096514187491586,6.818380606613645,10.797813642277802,36.85406293810322,23.722171426387252,42.37672950508908,44.020759262372,12.006801311704448,24.011014397998412,49.99461033722361,5.628181574526706,15.350449650832298,63.33539601413861,2.454357688732168,8.43002119466544,70.8855098693548,0.868107275834333,5.194650672096937,83.28843784438921,0.3064181255009552,2.900819411005199,89.43684241981907,0.20493844444996434,1.2262112081704422,83.28685604205648,0.472572607102925,0.6421266930325976,26.405082948493035,1.0800000000000027,-0.5399999999999987,300.00000000000097,2.4681916409258107,3.079962712540748,19.86293759739286,209.03552880572053,289.9398269177015,27.903823690611983
2,7.860774871725677,12.57587475586757,37.493215984374785,20.589557261627895,38.04353416253469,45.87895758143177,110.30859884383915,289.48435065905,61.89479721694564,7.859251873972783,12.576126795850048,37.506578920894555,31.40867591243241,45.171071246519475,30.46727685287624,13.000218154647571,26.246479120577842,50.46871584213708,5.832446883351996,16.13800613172907,63.85893749361781,2.918363454181196,11.13089998688861,73.78142416499281,1.396563839626573,7.788075537870233,82.06792123630989,0.7889500709358972,5.867348960183294,86.5535512496388,0.11942970211597563,4.3233405047568025,97.23755966053169,0.31658927242079954,0.43278538576019504,26.848437392426046,-1.7999999999999998,1.9600000000000035,191.8367346938774,2.7285788543438714,2.6695287325437005,-2.212005477982029,214.48888759628426,214.59516245292824,0.04952341675795674
3,8.97621461930238,9.824410983769967,8.633559465995631,29.366452954152805,26.308447627705082,-11.623663127988511,133.5197584343999,174.47927802433165,23.475291767438318,8.974876757630515,10.168478822830409,11.738255898414245,31.746546246912207,39.83007865862372,20.295045061281407,21.240727907071193,20.821419073484034,-2.013834081660394,12.763141127675567,11.06539648861395,-15.342826990506467,7.86919494105474,6.7248241551483225,-17.017110923715705,4.512518138745727,4.242900442861782,-6.354560978152287,2.2018880287424736,2.1542267681117346,-2.212453272619759,1.0995633458682152,1.123480140000289,2.128813254506444,0.5670380629909608,0.513829443728129,-10.355307566022804,-0.3399999999999985,1.8200000000000034,118.68131868131857,2.592344261561131,2.1642643981278686,-19.779462426289506,214.97533163947827,165.2212105165771,-30.113640353645284
4,7.901996738683787,6.476844128866166,-22.003812064365796,23.798503671428573,16.619944238400215,-43.192439938771685,116.0249535126783,71.15154040488973,-63.06738104675629,7.896465020339954,6.498910798936411,-21.50443766103486,28.71600132466848,20.654694051806814,-39.02893575979396,13.927016021941172,8.057697900130552,-72.84112899933272,7.242491717825526,3.1194936224357925,-132.16882591894438,4.434448727342176,0.9844889578080631,-350.4315352825644,2.2429877955505164,0.3809829580360531,-488.7370414448456,0.9552152868515458,0.0,,0.337384412668046,0.0,,0.6108115755842491,0.26658146070629074,-129.12755221835098,-0.2999999999999985,-0.05999999999999828,-400.0000000000118,2.346882199342493,2.455270836076167,4.414528741232176,189.6351189726307,190.6268676168657,0.5202564867342224
5,9.49394476094973,16.12820588269037,41.13452649349469,20.94774239072847,29.620431586771236,29.279415361105233,138.51436998558484,161.49069899115247,14.227648495611769,9.494138209302053,16.124654202990364,41.12036084754402,43.18337015570769,75.40681062304478,42.732798537814574,18.49677856283003,56.71779387801217,67.38805003133119,5.742767779095258,33.785897413811846,83.0024707979265,2.837356749121991,13.318258834066075,78.69573805049903,1.8278541830964905,4.019611692736827,54.52659801942307,1.0746034300278797,1.3561550505778512,20.761019946060273,0.5689926154041612,0.24351659084980898,-133.65661182202263,0.4553833667807175,0.3886528856708433,-17.16968625993669,-0.1999999999999984,-0.03999999999999826,-400.00000000001774,2.6650951252496773,2.606904963214744,-2.2321550979432385,210.7970286634666,209.04808291546212,-0.8366236722255603
