scene,admit_force_mean_abs,key_force_mean_abs,reduction_force_mean_abs_pct,admit_force_p95_abs,key_force_p95_abs,reduction_force_p95_abs_pct,admit_force_variance,key_force_variance,reduction_force_variance_pct,admit_force_impulse_per_s,key_force_impulse_per_s,reduction_force_impulse_per_s_pct,admit_force_gt10_pct,key_force_gt10_pct,reduction_force_gt10_pct_pct,admit_force_gt15_pct,key_force_gt15_pct,reduction_force_gt15_pct_pct,admit_force_gt20_pct,key_force_gt20_pct,reduction_force_gt20_pct_pct,admit_force_gt25_pct,key_force_gt25_pct,reduction_force_gt25_pct_pct,admit_force_gt30_pct,key_force_gt30_pct,reduction_force_gt30_pct_pct,admit_force_gt35_pct,key_force_gt35_pct,reduction_force_gt35_pct_pct,admit_force_gt40_pct,key_force_gt40_pct,reduction_force_gt40_pct_pct,admit_best_abs_force_cmd_corr,key_best_abs_force_cmd_corr,reduction_best_abs_force_cmd_corr_pct,admit_best_lag_sec,key_best_lag_sec,reduction_best_lag_sec_pct,admit_odom_accel_p95_abs,key_odom_accel_p95_abs,reduction_odom_accel_p95_abs_pct,admit_odom_jerk_p95_abs,key_odom_jerk_p95_abs,reduction_odom_jerk_p95_abs_pct
1,9.28060845219892,11.489241633698011,19.223489695100138,20.693260586092713,35.977505214155045,42.48278066275945,138.13793219633936,230.35706592559933,40.03312568629646,9.280507579332244,11.66373816830616,20.432819689401647,40.7988590330148,39.2334720069757,-3.9899273400038924,18.507257231803543,27.444438951871415,32.56463626653389,5.641283862444384,20.90709043803326,73.01736518926609,3.452282836200305,14.64200083761656,76.4220554657319,2.1376894751343483,9.384168323740514,77.2202564853156,1.316445478455912,5.680196642526386,76.82394534372325,0.6550202147808551,3.551311103096955,81.55553834161027,0.3480355912233475,0.6714055432516834,48.16313408170914,-0.4999999999999986,-0.2599999999999984,-92.30769230769296,2.3370001478263944,2.445336811367974,4.430337082316836,196.29153881515268,196.69056068814453,0.2028678303604548
2,9.696174653381462,11.544571234623367,16.0109591224867,30.263135956146165,30.772248103731112,1.6544522384869809,167.32054121564468,216.5441736338096,22.731450859262235,9.696825117676886,11.535795683513646,15.941428023598933,37.54446539680045,48.12831648863459,21.99090237102621,18.92188890306327,24.936173904102628,24.1187161437379,12.174520252753007,12.644843965439252,3.719490046470548,8.651881987254992,8.618868019551632,-0.38304296606547955,5.241354394048946,5.368553333082667,2.3693336200998916,2.362412360644016,3.777613902486397,37.46284237547162,1.0382360957233223,2.1389198211108047,51.459793608152395,0.4644028171008513,0.6748788183670978,31.187228808796146,1.0400000000000027,-0.2399999999999984,533.3333333333374,2.525286197883392,2.4178061314211634,-4.445355029315467,202.72311234409165,204.78660142074847,1.007628947568322
3,9.376598197629477,26.335322474196733,64.39535454021252,29.08137042990033,54.681506116779104,46.816807920774025,153.76623900484964,272.4903555607714,43.57002518918275,9.376849081674804,26.35876093177381,64.42606271992243,35.220643487506834,84.5166066949966,58.32695506267657,19.365148211199323,73.59335913228071,73.686283056612,11.884098018008387,62.15892458196988,80.88110742273757,7.7994864855104415,49.530702803481496,84.25322871662904,4.509618339023891,38.62529355456507,88.32470144815014,2.231884071077437,26.91985844065637,91.70915376097713,0.6897602153469933,18.639761102323835,96.2995222333563,0.4133767044495844,0.5552907381825372,25.55670822053262,-0.3599999999999985,-0.1999999999999984,-80.00000000000068,3.110520870256498,3.172218343621538,1.944931485851106,274.908013830949,291.3113097989748,5.630847624606536
4,8.921565536241033,16.62410809509838,46.33356878332884,22.60657207641196,43.67997177674232,48.24499385677494,132.68904284145069,262.1003968655337,49.37472646806994,8.919616848992808,16.611093072651215,46.30325162840598,38.22666325642454,58.89618129978921,35.094835670506626,16.41304557606936,45.43133865396219,63.87285503277167,7.123133057795676,33.95674466784375,79.02292128567578,3.4668517805052064,23.40148566854915,85.18533468511983,1.3754804345852374,17.00556757165283,91.91158760923645,0.8528455753807278,11.03106551099324,92.26869267949857,0.3318484841290998,7.596567946311875,95.63159986885643,0.5915909487270729,0.5079177965564706,-16.473758694395222,-0.4599999999999986,-0.1799999999999983,-155.55555555555716,2.413723101156252,2.357184948138054,-2.3985454795499814,196.92461587856224,198.6054945726878,0.8463404790195174
5,15.386220403085709,13.863428207495298,-10.984239776761054,39.85658406125827,36.32865952123538,-9.711133266452322,198.96922952946807,267.2070780433637,25.537440480084012,15.385844990535588,13.847769303161968,-11.107028530742635,58.779556317640285,56.361090259054095,-4.291020715657071,44.074885936320854,35.792434546106826,-23.140229199957894,30.7540348017347,21.16553645494603,-45.302411149366364,20.571949424568334,13.882708939299196,-48.183971258903405,13.0842743304819,9.623229025701326,-35.9655298189096,8.172605940244745,5.773531219552075,-41.55298775501895,4.9494090722078505,3.199320739779682,-54.70187189011523,0.5523284816687631,0.6867930605104551,19.578616409104644,-0.3799999999999985,-0.2999999999999985,-26.666666666666806,2.3502038484834213,2.1524597623371235,-9.18688886112272,195.32860743547957,158.99275981579686,-22.853775015780645
