bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,raw_count,voltage_mv,force_n
1780471462335970775,1780471462.335970879,1780471462,335598051,load_cell,-10131,-0.04716786427145708,-13.351807339321356
1780471462346350276,1780471462.346350193,1780471462,345572635,load_cell,-9179,-0.04276786427145708,-12.106299339321355
1780471462356542728,1780471462.356542826,1780471462,355767070,load_cell,-11405,-0.053067864271457085,-15.021920339321357
1780471462366043750,1780471462.366043806,1780471462,365809658,load_cell,-6474,-0.03016786427145708,-8.539617339321355
1780471462375981596,1780471462.375981569,1780471462,375574822,load_cell,-7015,-0.03266786427145708,-9.247292339321357
1780471462386181152,1780471462.386181116,1780471462,385582144,load_cell,-2899,-0.013467864271457082,-3.812348339321357
1780471462396097525,1780471462.396097422,1780471462,395582361,load_cell,-1200,-0.005567864271457078,-1.5760953393213555
1780471462405957030,1780471462.405956984,1780471462,405585554,load_cell,-2268,-0.010567864271457082,-2.9914453393213574
1780471462416239727,1780471462.416239738,1780471462,415590796,load_cell,-1287,-0.005967864271457082,-1.6893233393213567
1780471462426046046,1780471462.426046133,1780471462,425687050,load_cell,-8813,-0.041067864271457075,-11.625080339321356
1780471462436212960,1780471462.436213017,1780471462,435586366,load_cell,-8813,-0.041067864271457075,-11.625080339321356
1780471462445925929,1780471462.445925951,1780471462,445583575,load_cell,-11450,-0.05336786427145708,-15.106841339321354
1780471462456326872,1780471462.456326962,1780471462,455662132,load_cell,-13732,-0.06396786427145708,-18.107383339321352
1780471462466220396,1780471462.466220379,1780471462,465579273,load_cell,-11894,-0.05536786427145708,-15.672981339321355
1780471462475961399,1780471462.475961447,1780471462,475589507,load_cell,-11894,-0.05536786427145708,-15.672981339321355
1780471462485899629,1780471462.485899687,1780471462,485584828,load_cell,-8538,-0.03976786427145708,-11.257089339321356
1780471462495980970,1780471462.495980978,1780471462,495585333,load_cell,-8538,-0.03976786427145708,-11.257089339321356
1780471462506378937,1780471462.506378889,1780471462,505687476,load_cell,-17264,-0.08036786427145708,-22.749731339321357
1780471462516939984,1780471462.516939878,1780471462,515592712,load_cell,-2607,-0.01216786427145708,-3.444357339321355
1780471462525909522,1780471462.525909424,1780471462,525597441,load_cell,-7939,-0.03696786427145708,-10.464493339321356
1780471462536032850,1780471462.536032915,1780471462,535593210,load_cell,-1092,-0.005067864271457077,-1.4345603393213544
1780471462546707983,1780471462.546707869,1780471462,545597843,load_cell,-1092,-0.005067864271457077,-1.4345603393213544
1780471462556164779,1780471462.556164742,1780471462,555585804,load_cell,920,0.004332135728542921,1.2262976606786449
1780471462566168805,1780471462.566168785,1780471462,565589765,load_cell,920,0.004332135728542921,1.2262976606786449
1780471462576561331,1780471462.576561213,1780471462,575603839,load_cell,885,0.0041321357285429225,1.1696836606786452
1780471462586414340,1780471462.586414337,1780471462,585593144,load_cell,885,0.0041321357285429225,1.1696836606786452
1780471462596228275,1780471462.596228361,1780471462,595604882,load_cell,-18,-6.786427145707985e-05,-0.019210339321356074
1780471462605935645,1780471462.605935574,1780471462,605594922,load_cell,-1792,-0.008367864271457082,-2.368691339321357
1780471462616583225,1780471462.616583109,1780471462,615593443,load_cell,-10744,-0.05006786427145708,-14.172710339321357
1780471462627231701,1780471462.627231598,1780471462,625635647,load_cell,-10177,-0.047367864271457075,-13.408421339321356
1780471462636155732,1780471462.636155844,1780471462,635594326,load_cell,-865,-0.0040678642714570765,-1.1514903393213558
1780471462646545506,1780471462.646545410,1780471462,645615152,load_cell,-3763,-0.01756786427145708,-4.9729353393213565
1780471462656073410,1780471462.656073332,1780471462,655601545,load_cell,-3763,-0.01756786427145708,-4.9729353393213565
1780471462666214979,1780471462.666214943,1780471462,665630115,load_cell,-6789,-0.03156786427145708,-8.935915339321356
1780471462676457673,1780471462.676457644,1780471462,675622844,load_cell,701,0.003232135728542921,0.9149206606786446
1780471462686240310,1780471462.686240196,1780471462,685648023,load_cell,-3331,-0.015467864271457077,-4.378488339321356
1780471462696564993,1780471462.696564913,1780471462,695605677,load_cell,-3188,-0.01486786427145708,-4.208646339321357
1780471462706011388,1780471462.706011295,1780471462,705603399,load_cell,752,0.0035321357285429227,0.999841660678646
1780471462716304197,1780471462.716304302,1780471462,715596511,load_cell,2234,0.010432135728542923,2.953024660678645
1780471462726173944,1780471462.726173878,1780471462,725605785,load_cell,2234,0.010432135728542923,2.953024660678645
1780471462736564134,1780471462.736564159,1780471462,735602482,load_cell,1903,0.008832135728542922,2.500112660678644
1780471462746078981,1780471462.746078968,1780471462,745604811,load_cell,423,0.001932135728542922,0.5469296606786447
1780471462756239943,1780471462.756239891,1780471462,755602692,load_cell,-3170,-0.014767864271457078,-4.180339339321355
1780471462765942992,1780471462.765943050,1780471462,765592061,load_cell,-4223,-0.01966786427145708,-5.567382339321355
1780471462776000588,1780471462.776000500,1780471462,775616055,load_cell,-13240,-0.06166786427145708,-17.456322339321353
1780471462785947010,1780471462.785947084,1780471462,785596912,load_cell,-6051,-0.02816786427145708,-7.973477339321354
1780471462796032288,1780471462.796032190,1780471462,795610441,load_cell,-15636,-0.07276786427145708,-20.598399339321354
1780471462806210947,1780471462.806210995,1780471462,805635620,load_cell,-7908,-0.03686786427145708,-10.436186339321354
1780471462816130936,1780471462.816130877,1780471462,815601403,load_cell,-3303,-0.015367864271457081,-4.350181339321356
1780471462826739154,1780471462.826739073,1780471462,825607125,load_cell,-4176,-0.01946786427145708,-5.510768339321356
1780471462836069127,1780471462.836069107,1780471462,835624719,load_cell,-2802,-0.013067864271457078,-3.6991203393213556
1780471462846002748,1780471462.846002817,1780471462,845606279,load_cell,-7281,-0.03386786427145708,-9.586976339321355
1780471462856029143,1780471462.856029034,1780471462,855641442,load_cell,-4296,-0.01996786427145708,-5.652303339321357
1780471462866119029,1780471462.866119146,1780471462,865606137,load_cell,-1668,-0.007767864271457078,-2.198849339321356
1780471462876618633,1780471462.876618624,1780471462,875641396,load_cell,-2901,-0.013467864271457082,-3.812348339321357
1780471462886518333,1780471462.886518240,1780471462,885706513,load_cell,-1185,-0.005567864271457078,-1.5760953393213555
1780471462896101728,1780471462.896101713,1780471462,895610053,load_cell,-3234,-0.01506786427145708,-4.265260339321356
1780471462905983474,1780471462.905983448,1780471462,905605502,load_cell,-4706,-0.02186786427145708,-6.190136339321356
1780471462916289436,1780471462.916289330,1780471462,915616248,load_cell,-7514,-0.03496786427145708,-9.898353339321355
1780471462926551139,1780471462.926551104,1780471462,925605296,load_cell,-10255,-0.04776786427145707,-13.521649339321355
1780471462936836908,1780471462.936836958,1780471462,935619114,load_cell,-14913,-0.06946786427145708,-19.664268339321353
1780471462946812932,1780471462.946812868,1780471462,946053467,load_cell,-19967,-0.09296786427145708,-26.316413339321358
1780471462956102327,1780471462.956102371,1780471462,955609212,load_cell,-9730,-0.045267864271457084,-12.813974339321357
1780471462966036844,1780471462.966036797,1780471462,965611957,load_cell,-11222,-0.052267864271457076,-14.795464339321354
1780471462976086248,1780471462.976086140,1780471462,975613039,load_cell,-11464,-0.05336786427145708,-15.106841339321354
1780471462986628062,1780471462.986628056,1780471462,985607944,load_cell,-11939,-0.055567864271457074,-15.729595339321355
1780471462996141341,1780471462.996141434,1780471462,995617121,load_cell,-4128,-0.01926786427145708,-5.454154339321356
1780471463006264285,1780471463.006264210,1780471463,5630843,load_cell,-6998,-0.03256786427145708,-9.218985339321355
1780471463016303769,1780471463.016303778,1780471463,15622772,load_cell,-5412,-0.025167864271457077,-7.124267339321355
1780471463026220429,1780471463.026220322,1780471463,25613645,load_cell,-1520,-0.007067864271457079,-2.000700339321355
1780471463035970329,1780471463.035970211,1780471463,35614534,load_cell,-1681,-0.007867864271457081,-2.227156339321356
1780471463046125467,1780471463.046125412,1780471463,45628320,load_cell,-1038,-0.0048678642714570786,-1.3779463393213565
1780471463056316062,1780471463.056316137,1780471463,55619321,load_cell,-2052,-0.009567864271457081,-2.708375339321357
1780471463066239892,1780471463.066239834,1780471463,65640627,load_cell,-2881,-0.01336786427145708,-3.7840413393213552
1780471463076298384,1780471463.076298475,1780471463,75668014,load_cell,-6851,-0.03186786427145708,-9.020836339321358
1780471463086459794,1780471463.086459875,1780471463,85803247,load_cell,-10412,-0.04846786427145708,-13.719798339321356
1780471463096323716,1780471463.096323729,1780471463,95686082,load_cell,-11671,-0.05436786427145708,-15.389911339321356
1780471463106010988,1780471463.106010914,1780471463,105620856,load_cell,-11496,-0.053567864271457086,-15.163455339321358
1780471463116198864,1780471463.116198778,1780471463,115620561,load_cell,-11197,-0.05216786427145707,-14.767157339321352
1780471463126527355,1780471463.126527309,1780471463,125632651,load_cell,-9963,-0.046367864271457074,-13.125351339321353
1780471463136222884,1780471463.136222839,1780471463,135643781,load_cell,-6253,-0.02916786427145708,-8.256547339321356
1780471463146192219,1780471463.146192312,1780471463,145619037,load_cell,-9537,-0.044367864271457086,-12.559211339321356
1780471463156296090,1780471463.156296015,1780471463,155637783,load_cell,-4848,-0.02256786427145708,-6.388285339321355
1780471463166249745,1780471463.166249752,1780471463,165630320,load_cell,-10205,-0.04756786427145708,-13.465035339321355
1780471463175991388,1780471463.175991297,1780471463,175625705,load_cell,-5843,-0.02716786427145708,-7.6904073393213555
1780471463186247331,1780471463.186247349,1780471463,185626658,load_cell,-4757,-0.02216786427145708,-6.275057339321357
1780471463196504395,1780471463.196504354,1780471463,195626523,load_cell,-5237,-0.024367864271457082,-6.897811339321356
1780471463206079853,1780471463.206079960,1780471463,205624853,load_cell,-4401,-0.02046786427145708,-5.793838339321356
1780471463216788716,1780471463.216788769,1780471463,215634830,load_cell,-7818,-0.03636786427145708,-10.294651339321357
1780471463226205990,1780471463.226206064,1780471463,225628647,load_cell,-6219,-0.028967864271457082,-8.199933339321356
1780471463236054712,1780471463.236054659,1780471463,235626497,load_cell,-9883,-0.04606786427145708,-13.040430339321356
1780471463246481960,1780471463.246481895,1780471463,245689821,load_cell,-10099,-0.04706786427145708,-13.323500339321354
1780471463256452448,1780471463.256452560,1780471463,255633556,load_cell,-14929,-0.06956786427145707,-19.69257533932135
1780471463265936861,1780471463.265936852,1780471463,265631725,load_cell,-16553,-0.07706786427145708,-21.815600339321357
1780471463276718496,1780471463.276718378,1780471463,275647847,load_cell,-11453,-0.05336786427145708,-15.106841339321354
1780471463286073015,1780471463.286072969,1780471463,285629343,load_cell,-10325,-0.04806786427145708,-13.606570339321356
1780471463296557770,1780471463.296557665,1780471463,295646937,load_cell,-6741,-0.03136786427145708,-8.879301339321357
1780471463306355417,1780471463.306355476,1780471463,305629266,load_cell,-4859,-0.022667864271457082,-6.416592339321356
1780471463316210602,1780471463.316210508,1780471463,315643564,load_cell,-3324,-0.015467864271457077,-4.378488339321356
1780471463326132639,1780471463.326132536,1780471463,325634821,load_cell,-3700,-0.01726786427145708,-4.888014339321355
1780471463336144889,1780471463.336144924,1780471463,335668064,load_cell,-2052,-0.009567864271457081,-2.708375339321357
1780471463346432962,1780471463.346432924,1780471463,345684314,load_cell,-1885,-0.00876786427145708,-2.4819193393213563
1780471463356238481,1780471463.356238365,1780471463,355634224,load_cell,-810,-0.0037678642714570817,-1.0665693393213562
1780471463366416596,1780471463.366416693,1780471463,365633802,load_cell,-694,-0.0032678642714570813,-0.9250343393213569
1780471463376280806,1780471463.376280785,1780471463,375637987,load_cell,-1606,-0.007467864271457077,-2.1139283393213546
1780471463385942189,1780471463.385942221,1780471463,385628316,load_cell,-2133,-0.009967864271457079,-2.8216033393213564
1780471463396247799,1780471463.396247864,1780471463,395628629,load_cell,-4503,-0.020967864271457082,-5.935373339321357
1780471463406507390,1780471463.406507492,1780471463,405625582,load_cell,-9081,-0.04226786427145708,-11.964764339321357
1780471463416324045,1780471463.416324139,1780471463,415645705,load_cell,-9646,-0.044967864271457075,-12.729053339321355
1780471463426128956,1780471463.426128864,1780471463,425642626,load_cell,-5956,-0.027767864271457082,-7.860249339321358
1780471463436421125,1780471463.436421156,1780471463,435655100,load_cell,-10065,-0.046867864271457074,-13.266886339321355
1780471463446232980,1780471463.446233034,1780471463,445635924,load_cell,-4132,-0.01926786427145708,-5.454154339321356
1780471463456168298,1780471463.456168413,1780471463,455641230,load_cell,682,0.0031321357285429216,0.8866136606786448
1780471463466012699,1780471463.466012716,1780471463,465652104,load_cell,-6426,-0.029967864271457076,-8.483003339321355
1780471463476129307,1780471463.476129293,1780471463,475697571,load_cell,318,0.0014321357285429215,0.4053946606786436
1780471463486229529,1780471463.486229420,1780471463,485634457,load_cell,-4154,-0.019367864271457078,-5.482461339321356
1780471463496228786,1780471463.496228695,1780471463,495638291,load_cell,-2207,-0.01026786427145708,-2.906524339321356
1780471463506055874,1780471463.506055832,1780471463,505640460,load_cell,-3523,-0.016367864271457082,-4.633251339321356
1780471463516116095,1780471463.516116142,1780471463,515687048,load_cell,-2559,-0.01196786427145708,-3.3877433393213554
1780471463525927694,1780471463.525927782,1780471463,525647583,load_cell,-2750,-0.012767864271457076,-3.6141993393213543
1780471463536120018,1780471463.536119938,1780471463,535669082,load_cell,-3465,-0.016167864271457076,-4.576637339321355
1780471463546373113,1780471463.546373129,1780471463,545661266,load_cell,-6177,-0.028767864271457076,-8.143319339321353
1780471463556128357,1780471463.556128263,1780471463,555656875,load_cell,-6120,-0.02846786427145708,-8.058398339321355
1780471463565986966,1780471463.565986872,1780471463,565640164,load_cell,-4803,-0.02236786427145708,-6.331671339321355
1780471463577606119,1780471463.577606201,1780471463,575651262,load_cell,-9275,-0.04316786427145708,-12.219527339321354
1780471463586980862,1780471463.586980820,1780471463,586105519,load_cell,-7712,-0.03586786427145708,-10.153116339321356
1780471463596251345,1780471463.596251249,1780471463,595659857,load_cell,-5552,-0.025867864271457076,-7.3224163393213555
1780471463606546330,1780471463.606546402,1780471463,605649322,load_cell,-5432,-0.02526786427145708,-7.152574339321356
1780471463616270052,1780471463.616270065,1780471463,615660131,load_cell,-3962,-0.01846786427145708,-5.227698339321355
1780471463626364835,1780471463.626364946,1780471463,625643996,load_cell,-3048,-0.014167864271457081,-4.010497339321356
1780471463636783282,1780471463.636783361,1780471463,635683735,load_cell,-1989,-0.00926786427145708,-2.6234543393213556
