bag_time_ns,bag_time_sec,front,left,right
1780471462353154418,1780471462.353154421,0.4723387658596039,0.8360553979873657,0.6146345734596252
1780471462373373456,1780471462.373373508,0.4546634256839752,0.8279067873954773,0.6022440195083618
1780471462392790819,1780471462.392790794,0.42620229721069336,0.8279067873954773,0.6022440195083618
1780471462412873178,1780471462.412873268,0.42620229721069336,0.8205334544181824,0.6022440195083618
1780471462432846539,1780471462.432846546,0.42620229721069336,0.8144184350967407,0.6753116846084595
1780471462452963075,1780471462.452963114,0.39204537868499756,0.8144184350967407,0.6753116846084595
1780471462472921844,1780471462.472921848,0.39204537868499756,0.8086968064308167,0.7049034237861633
1780471462492847778,1780471462.492847681,0.350793719291687,0.8038674592971802,0.6832506656646729
1780471462513526073,1780471462.513525963,0.350793719291687,0.8038674592971802,0.6832506656646729
1780471462533538508,1780471462.533538580,0.350793719291687,0.8000560402870178,0.7117723822593689
1780471462553929715,1780471462.553929806,0.45058417320251465,0.8000560402870178,0.7117723822593689
1780471462574931035,1780471462.574931145,0.45058417320251465,0.7975369095802307,0.6745728254318237
1780471462593260756,1780471462.593260765,0.42096036672592163,0.7975369095802307,0.6745728254318237
1780471462612994360,1780471462.612994432,0.42096036672592163,0.7956348657608032,0.6745728254318237
1780471462633555560,1780471462.633555651,1.0309776067733765,0.7938275337219238,0.6166539192199707
1780471462653542330,1780471462.653542280,1.0309776067733765,0.7919888496398926,0.6166539192199707
1780471462673221563,1780471462.673221588,0.74980628490448,0.7919888496398926,0.6229836344718933
1780471462693688070,1780471462.693688154,0.74980628490448,0.7895352840423584,0.5960143804550171
1780471462713057687,1780471462.713057756,0.74980628490448,0.7895352840423584,0.5960143804550171
1780471462733303767,1780471462.733303785,0.5691161155700684,0.7878081798553467,0.5960143804550171
1780471462753556438,1780471462.753556490,0.5691161155700684,0.7866998910903931,0.6695922017097473
1780471462772933287,1780471462.772933245,0.4739605188369751,0.784345805644989,0.6695922017097473
1780471462792956795,1780471462.792956829,0.4739605188369751,0.784345805644989,0.6642430424690247
1780471462812979118,1780471462.812979221,0.4739605188369751,0.7796177864074707,0.6642430424690247
1780471462832991425,1780471462.832991362,0.4739605188369751,0.7796177864074707,0.6642430424690247
1780471462853027638,1780471462.853027582,0.38703688979148865,0.7753635048866272,0.6642430424690247
1780471462873392828,1780471462.873392820,0.38703688979148865,0.7753635048866272,0.6344953179359436
1780471462893041147,1780471462.893041134,0.38008660078048706,0.7738099694252014,0.6344953179359436
1780471462913202582,1780471462.913202524,0.38008660078048706,0.7724059820175171,0.6344953179359436
1780471462933534298,1780471462.933534384,0.38008660078048706,0.7724059820175171,0.6344953179359436
1780471462953432487,1780471462.953432560,0.4091445207595825,0.7724059820175171,0.6344953179359436
1780471462972887964,1780471462.972887993,0.4091445207595825,0.7690919637680054,0.6149412393569946
1780471462993100602,1780471462.993100643,0.4091445207595825,0.7690919637680054,0.6149412393569946
1780471463013242772,1780471463.013242722,0.4091445207595825,0.7629712224006653,0.6149412393569946
1780471463032868691,1780471463.032868624,0.3806847631931305,0.7595044374465942,0.5998370051383972
1780471463053056815,1780471463.053056717,0.3806847631931305,0.7541876435279846,0.5761216282844543
1780471463073405685,1780471463.073405743,0.3676939010620117,0.7493696808815002,0.5761216282844543
1780471463093256927,1780471463.093256950,0.3676939010620117,0.7493696808815002,0.5761216282844543
1780471463113047495,1780471463.113047600,0.3676939010620117,0.7450720071792603,0.5704576373100281
1780471463133874086,1780471463.133874178,0.37173065543174744,0.7450720071792603,0.5704576373100281
1780471463152922021,1780471463.152921915,0.37173065543174744,0.7422350645065308,0.5704576373100281
1780471463172827378,1780471463.172827482,0.37173065543174744,0.7422350645065308,0.5225746035575867
1780471463193547788,1780471463.193547726,1.0874354839324951,0.7411503195762634,0.5325577855110168
1780471463212973055,1780471463.212973118,1.0874354839324951,0.7412522435188293,0.549766480922699
1780471463233585715,1780471463.233585596,0.7272173166275024,0.7412522435188293,0.549766480922699
1780471463253105644,1780471463.253105640,0.5586251616477966,0.742786169052124,0.5216913223266602
1780471463272804750,1780471463.272804737,0.5586251616477966,0.7473354935646057,0.544482409954071
1780471463293067951,1780471463.293067932,0.5586251616477966,0.7473354935646057,0.544482409954071
1780471463313239147,1780471463.313239098,0.5586251616477966,0.7504828572273254,0.544482409954071
1780471463332929133,1780471463.332929134,0.49376651644706726,0.7519722580909729,0.563243567943573
1780471463353415193,1780471463.353415251,0.49376651644706726,0.7519722580909729,0.5224083065986633
1780471463373291237,1780471463.373291254,0.49376651644706726,0.7561125755310059,0.5224083065986633
1780471463392889762,1780471463.392889738,0.3696403205394745,0.7561125755310059,0.5224083065986633
1780471463413311467,1780471463.413311481,0.3696403205394745,0.75909423828125,0.5224083065986633
1780471463432917705,1780471463.432917595,0.3696403205394745,0.75909423828125,0.5224083065986633
1780471463453121382,1780471463.453121424,0.3922201097011566,0.7624770998954773,0.5224083065986633
1780471463472943983,1780471463.472944021,0.3922201097011566,0.7624770998954773,0.5622427463531494
1780471463493188623,1780471463.493188620,0.3217981159687042,0.765621542930603,0.5857875943183899
1780471463512958581,1780471463.512958527,0.3217981159687042,0.765621542930603,0.5857875943183899
1780471463532831073,1780471463.532831192,0.3217981159687042,0.7685980796813965,0.5357122421264648
1780471463553253962,1780471463.553253889,0.3217981159687042,0.7714210152626038,0.5357122421264648
1780471463572848007,1780471463.572848082,0.35165971517562866,0.7714210152626038,0.5357122421264648
1780471463593389975,1780471463.593389988,0.35165971517562866,0.7744150757789612,0.5357122421264648
1780471463614167027,1780471463.614166975,0.34039434790611267,0.7744150757789612,0.5357122421264648
1780471463634047391,1780471463.634047508,0.34039434790611267,0.7765727043151855,0.5357122421264648
1780471463653433201,1780471463.653433084,0.3445113003253937,0.7765727043151855,0.5610974431037903
1780471463672879142,1780471463.672879219,0.3445113003253937,0.7792864441871643,0.5795654058456421
1780471463692927003,1780471463.692927122,0.36459362506866455,0.7792864441871643,0.5795654058456421
1780471463712999185,1780471463.712999105,0.36459362506866455,0.78163743019104,0.5949217677116394
1780471463733115466,1780471463.733115435,0.35555845499038696,0.7840049266815186,0.46904703974723816
1780471463753015735,1780471463.753015757,0.35555845499038696,0.7860056757926941,0.46904703974723816
1780471463772986600,1780471463.772986650,0.35555845499038696,0.7860056757926941,0.46904703974723816
1780471463793004380,1780471463.793004274,0.3479105234146118,0.788367509841919,0.46904703974723816
1780471463812908841,1780471463.812908888,0.33652815222740173,0.788367509841919,0.49695685505867004
1780471463833198379,1780471463.833198309,0.33652815222740173,0.7901431918144226,0.49695685505867004
1780471463852939280,1780471463.852939367,0.33652815222740173,0.7901431918144226,0.49695685505867004
1780471463873024967,1780471463.873024940,0.33652815222740173,0.7921465039253235,0.537311315536499
1780471463892968087,1780471463.892968178,0.3157746195793152,0.7940135598182678,0.5795837044715881
1780471463913292411,1780471463.913292408,0.3157746195793152,0.7940135598182678,0.5795837044715881
1780471463933179943,1780471463.933179855,0.32423046231269836,0.7961932420730591,0.5795837044715881
1780471463953406086,1780471463.953406096,0.32423046231269836,0.7961932420730591,0.45339223742485046
1780471463973035525,1780471463.973035574,0.32423046231269836,0.7984955310821533,0.45339223742485046
1780471463993325671,1780471463.993325710,0.32423046231269836,0.7984955310821533,0.45339223742485046
1780471464012979079,1780471464.012979031,0.38775402307510376,0.7996597290039062,0.5083820223808289
1780471464032941816,1780471464.032941818,0.38775402307510376,0.8019788265228271,0.5083820223808289
1780471464052982445,1780471464.052982330,0.38775402307510376,0.8019788265228271,0.5083820223808289
1780471464073435288,1780471464.073435307,0.38775402307510376,0.8038190603256226,0.6786791086196899
