t,cmd_vx,odom_vx,force_n,encoder_rpm
0.0,0.2339216246583937,,,
0.02,0.23748018214138192,,,
0.04,0.24143327464178221,,,
0.06,0.2457645365673972,,,
0.08,0.25003524623954904,,,
0.1,0.25409762564380617,,,
0.12,0.2573913200838232,,,
0.14,0.2610702669936561,,,
0.16,0.2635323474998309,,,
0.18,0.26618895643686513,,,
0.2,0.2699926143323923,,,
0.22,0.2748940734275319,,,
0.24,0.28045604526883183,,,
0.26,0.2858475322723783,,,
0.28,0.2910044525530303,,,
0.3,0.2953600103621195,,,
0.32,0.29970081590837266,,,
0.34,0.3040867550645962,,,
0.36,0.3086502943219088,,,
0.38,0.31347010011000936,,,
0.4,0.3182275336465729,,,
0.42,0.3225515760015694,,,
0.44,0.32640214396106937,,,
0.46,0.3300960400251496,,,
0.48,0.33439918914446487,,,
0.5,0.33857900105892164,,,
0.52,0.343678837862976,,,
0.54,0.3498819686756227,,,
0.56,0.3565825342118387,,,
0.58,0.3635988161591637,,,
0.6,0.3694255635483468,,,
0.62,0.37462914594223934,,,
0.64,0.37991110478691226,,,
0.66,0.38550840743237663,,,
0.68,0.391497260321711,,,
0.7000000000000001,0.39784814385546596,,,
0.72,0.4043686392060918,,,
0.74,0.41068419357171104,,,
0.76,0.41607842905256315,,,
0.78,0.42081558674221486,,,
0.8,0.42559370979576344,,,
0.8200000000000001,0.4295845552180811,,,
0.84,0.43346745307883966,,,
0.86,0.4376621003417125,,,
0.88,0.4415395018129318,,,
0.9,0.4444997835398507,,,
0.92,0.4460434940568613,,,
0.9400000000000001,0.44728041640058747,,,
0.96,0.44846703364397994,,,
0.98,0.4499395061578902,,,
1.0,0.4517893294265473,,,
1.02,0.4540713509235817,,,
1.04,0.45665830831954934,,,
1.06,0.45793274759940306,,,
1.08,0.458137033479592,,,
1.1,0.4575408202113661,,,
1.12,0.4563827172476588,,-12.353453125372386,
1.1400000000000001,0.4546676830674094,,-9.735946284749627,0.0
1.16,0.45310657443813995,0.47609180943042145,-4.819853306592087,0.0
1.18,0.4526462987386901,0.4766215895069918,-2.752229866489873,0.0
1.2,0.4530469212680282,0.46418645134563497,-9.846398421974298,0.0
1.22,0.4529921688759214,0.46931655518672866,-14.520540785274363,0.0
1.24,0.45179737391759045,0.4826859638684827,-16.147873055977502,0.0
1.26,0.44996833069570785,0.46433625364441244,-11.972162133782536,0.0
1.28,0.44819010002689985,0.456140922020856,-20.441379132342732,0.0
1.3,0.4473185651732889,0.45980914615926793,-9.197319698301747,0.0
1.32,0.4474966616810048,0.45620133789170747,-1.4345603393213544,0.0
1.34,0.44876518169845836,0.46062597776845715,1.2262976606786449,0.0
1.36,0.45098223571811874,0.46242737598550887,1.1696836606786452,0.0
1.3800000000000001,0.4537532310726572,0.47390168360579693,-1.9704954250175655,0.0
1.4000000000000001,0.45534022778985556,0.48652035140524275,-13.619526164783137,0.0
1.42,0.457436633364463,0.4808009658478682,-4.143496652114776,0.0
1.44,0.4594872146638368,0.49492547547960847,-8.183954394844761,0.0
1.46,0.4621703712618358,0.4976351180046665,-3.3235272781846077,0.0
1.48,0.4647587775224488,0.48918796270582854,0.05096901579233813,0.0
1.5,0.4675354024729967,0.4874648939823731,2.953024660678645,0.0
1.52,0.470158851364554,0.47594475424808863,0.9140407518974442,0.0
1.54,0.4725591414977105,0.4855041374529259,-5.331135837057858,0.0
1.56,0.47426309295662467,0.4993379186149306,-9.552949858370178,0.0
1.58,0.47401207835457393,0.4703034999617831,-12.353441482010716,0.0
1.6,0.47405879262447864,0.47517883608436057,-5.242868738426862,0.0
1.62,0.47443853459028623,0.48351953965668437,-8.571984296188814,0.0
1.6400000000000001,0.4748625761388013,0.4802033211152115,-2.8247681904770046,0.0
1.6600000000000001,0.4755264020251752,0.4850853160668073,-2.079355131313039,0.0
1.68,0.47633097823575293,0.48028173985358563,-5.860339648577019,0.0
1.7,0.47658005514883917,0.48544246552513437,-12.72343324036683,0.0
1.72,0.4752569951905646,0.4911859080978667,-24.634399804025115,0.0
1.74,0.4734217499610383,0.4726985959453956,-14.447127641865272,0.0
1.76,0.47094357680178167,0.48158174715191476,-15.591501889746759,0.0
1.78,0.4691028860257097,0.49177613058170855,-8.484881423232997,0.0
1.8,0.4675918490653698,0.4911070848436654,-2.9978213219534426,0.0
1.82,0.4669283033560068,0.489263168162105,-1.5313982713117722,0.0
1.84,0.4669231329785975,0.47661584718114686,-3.5727369562193076,0.0
1.86,0.46671130116737025,0.4815878333110751,-12.716549004344396,0.0
1.8800000000000001,0.465588025638428,0.48675030651198076,-15.203675244688553,0.0
1.9000000000000001,0.46379275580947343,0.4633720183415555,-13.480931326265306,0.0
1.92,0.46222582953547686,0.46870720436560187,-11.738364093584629,0.0
1.94,0.46109928395467037,0.4858932121333652,-12.07212183041071,0.0
1.96,0.4601881764804016,0.49371787873361483,-6.545096485360045,0.0
1.98,0.4595384394362279,0.5071090426802038,-6.000160318651587,0.0
2.0,0.4587219318501501,0.5061974610417245,-8.626046889790988,0.0
2.02,0.45744745455316754,0.513789659625886,-13.264006643325013,0.0
2.04,0.45505217865710385,0.5202224930292972,-21.447050756203794,0.0
2.06,0.45227265058772675,0.5057754269818213,-13.89242903515313,0.0
2.08,0.4499578047971701,0.5056523461911857,-6.935662719930172,0.0
2.1,0.44855248271200954,0.5053156729150312,-4.79342358921683,0.0
2.12,0.44810540628404555,0.5011858388355919,-2.5290752549923696,0.0
2.14,0.4486407001695815,0.5005390405335517,-0.9546019626002662,0.0
2.16,0.44986177556934875,0.4913519482681764,-2.7006096526989545,0.0
2.18,0.4511445489950705,0.5016120594945027,-10.66180386482619,0.0
2.2,0.4517016286572192,0.5090777629915365,-8.77318116679361,0.0
2.22,0.4515838816364381,0.48960624353248516,-7.001004654329219,0.0
2.24,0.45255278013191996,0.4847361700637752,-6.843708401257136,0.0
2.2600000000000002,0.45436942371875627,0.49382711912060356,-4.352095280879926,0.0
2.2800000000000002,0.4564768576877776,0.5059857352167304,-4.323042056295537,0.0
2.3000000000000003,0.4587401170399684,0.5141903028563497,-3.576412833822369,0.0
2.32,0.46095770262369506,0.5126767427846921,-7.418809740878326,0.0
2.34,0.4627286517660419,0.5223243542747029,-6.628812033644959,0.0
2.36,0.46358473484579976,0.5297964677315894,-10.74616158128883,0.0
2.38,0.464312467433436,0.5203594492146103,-7.189792711479483,0.0
2.4,0.4651498603501938,0.5152664297580474,-4.260618633142812,0.0
2.42,0.4663835201497088,0.5151039053916304,-2.6008273653733465,0.0
2.44,0.46803615816462746,0.5181331188517412,-1.2679374220163255,0.0
2.46,0.4697429088995875,0.5212800852718434,-1.5615066737058263,0.0
2.48,0.47155651210762606,0.5092888802913026,-5.40725505291605,0.0
2.5,0.47270717187231265,0.5136584167347034,-14.5635532764217,0.0
2.52,0.4729072043956804,0.5273548252982967,-11.343409880354018,0.0
2.54,0.47248189642790556,0.5297075510025024,-10.025632412249575,0.0
2.56,0.47309864247732897,0.5249527237707033,-4.887247196631587,0.0
2.58,0.4743447484444887,0.5177775806198056,-3.0926660835694397,0.0
2.6,0.4761433231277377,0.5200501409604062,0.34098978040678374,0.0
2.62,0.4780297946461733,0.5289412027906273,-2.5167161878623077,0.0
2.64,0.4798034961375636,0.5298169264365941,-8.66548464406186,0.0
2.66,0.4809852045841473,0.5401850715864251,-10.556199077302015,0.0
2.68,0.4807520168964721,0.5581116751494791,-21.369120650440554,0.0
2.7,0.4800586568732302,0.5452591494841965,-13.32764747526031,0.0
2.72,0.4791667075899439,0.5450902296024196,-5.388534275947713,0.0
2.74,0.4786824494924351,0.5465818348903887,-2.431469127500634,0.0
2.7600000000000002,0.4788351861497102,0.54337051596287,-0.5748538285889067,0.0
2.7800000000000002,0.47973768244802784,0.5463883003071256,3.056008392203933,0.0
2.8000000000000003,0.48108945663930763,0.5366839931356011,-4.236589426258668,0.0
2.82,0.48214578049347345,0.5457033921424779,-6.66844720672446,0.0
2.84,0.48276900133407374,0.5627802724342015,-5.670815563604037,0.0
2.86,0.4825916869976029,0.5397923493285125,-5.196593904328585,0.0
2.88,0.48299520481702213,0.5282533633289607,-2.087679588195695,0.0
2.9,0.48384670727298607,0.5330757008038363,0.09865726145807693,0.0
2.92,0.48513165430961386,0.5341725605793037,2.962911069304357,0.0
2.94,0.4863470346916671,0.5447199678676362,2.624071340143604,0.0
2.96,0.48742874965045896,0.5474200610265544,-2.8167960857265535,0.0
2.98,0.48843334291359575,0.5575003470970968,-10.641007053469258,0.0
3.0,0.48935702062909103,0.5720701979504283,-13.813701175648983,0.0
3.02,0.4900945470377033,0.5663349144861115,-8.351089880186246,0.0
3.04,0.49088624326095764,0.5690004997679918,-7.035184583039048,0.0
3.06,0.4910399631122609,0.569037698617621,-3.7596690966300375,0.0
3.08,0.4915053493934471,0.5678947445490452,-2.492167343031672,0.0
3.1,0.49215343016462776,0.5698532667617069,-0.5522656037367559,0.0
3.12,0.492610777586697,0.5572016046251703,-10.450175500217707,0.0
3.14,0.4919719213607411,0.5582586039010287,-16.771080780590335,0.0
3.16,0.4898030022650217,0.5651588433320438,-10.017861589544536,0.0
3.18,0.48724031020159214,0.5347757492532486,-11.00884888847681,0.0
3.2,0.48503365104407575,0.526646374314727,-14.302848904553509,0.0
3.22,0.48306655779613483,0.53509554782513,-8.37674568141213,0.0
3.24,0.4816506404142086,0.5312693098441608,-6.817164856094322,0.0
3.2600000000000002,0.4807283601756566,0.5398102409301369,-3.7258096148610855,0.0
3.2800000000000002,0.4802320825499887,0.5389906198278424,-5.040594442412169,0.0
3.3000000000000003,0.47987510223695873,0.5513187538928421,-9.471015007903897,0.0
