bag_time_ns,bag_time_sec,stamp.sec,stamp.nanosec,level,name,msg,file,function,line
1780471496446346485,1780471496.446346521,1780471496,445867675,20,laica_velocity_predictor,Admittance force raw=8.671 zeroed=8.220 filtered=3.989 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471496466991026,1780471496.466990948,1780471496,466511448,20,laica_velocity_predictor,Admittance force raw=4.651 zeroed=4.200 filtered=4.014 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471497446328902,1780471497.446328878,1780471497,445916879,20,laica_velocity_predictor,Admittance force raw=-3.954 zeroed=-4.405 filtered=-6.262 eff=-1.262 adm_vx=-0.007 cmd_vx=0.493,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471497466819450,1780471497.466819525,1780471497,466545771,20,laica_velocity_predictor,Admittance force raw=-7.577 zeroed=-8.029 filtered=-6.469 eff=-1.469 adm_vx=-0.008 cmd_vx=0.492,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471498309645533,1780471498.309645414,1780471498,307739830,30,arduino_sensor_pub,Arduino parse errors: 1,/home/artemis/Documents/LAICA_ws/src/LAICA_enclc/src/arduino_sensor_pub.cpp,publishSensorData,339
1780471498446637618,1780471498.446637630,1780471498,445982446,20,laica_velocity_predictor,Admittance force raw=-11.399 zeroed=-11.850 filtered=-8.768 eff=-3.768 adm_vx=-0.028 cmd_vx=0.472,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471498466955549,1780471498.466955662,1780471498,466626059,20,laica_velocity_predictor,Admittance force raw=-14.512 zeroed=-14.964 filtered=-9.486 eff=-4.486 adm_vx=-0.030 cmd_vx=0.470,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471499446633431,1780471499.446633339,1780471499,446007157,20,laica_velocity_predictor,Admittance force raw=-15.871 zeroed=-16.323 filtered=-13.891 eff=-8.891 adm_vx=-0.108 cmd_vx=0.392,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471499467118828,1780471499.467118740,1780471499,466648594,20,laica_velocity_predictor,Admittance force raw=-11.625 zeroed=-12.077 filtered=-13.680 eff=-8.680 adm_vx=-0.108 cmd_vx=0.392,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471500447588795,1780471500.447588682,1780471500,446048263,20,laica_velocity_predictor,Admittance force raw=0.972 zeroed=0.520 filtered=-3.645 eff=0.000 adm_vx=-0.039 cmd_vx=0.461,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471500467376586,1780471500.467376471,1780471500,466706406,20,laica_velocity_predictor,Admittance force raw=6.378 zeroed=5.927 filtered=-2.519 eff=0.000 adm_vx=-0.036 cmd_vx=0.464,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471501446755880,1780471501.446755886,1780471501,446147623,20,laica_velocity_predictor,Admittance force raw=10.030 zeroed=9.578 filtered=3.823 eff=0.000 adm_vx=-0.001 cmd_vx=0.499,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471501468189648,1780471501.468189716,1780471501,466768355,20,laica_velocity_predictor,Admittance force raw=9.152 zeroed=8.701 filtered=4.396 eff=0.000 adm_vx=-0.001 cmd_vx=0.499,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471502446952727,1780471502.446952820,1780471502,446193774,20,laica_velocity_predictor,Admittance force raw=-16.918 zeroed=-17.370 filtered=-6.792 eff=-1.792 adm_vx=-0.003 cmd_vx=0.497,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471502467423371,1780471502.467423439,1780471502,466822731,20,laica_velocity_predictor,Admittance force raw=-14.484 zeroed=-14.936 filtered=-7.752 eff=-2.752 adm_vx=-0.006 cmd_vx=0.494,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471503446553519,1780471503.446553469,1780471503,446212797,20,laica_velocity_predictor,Admittance force raw=-33.478 zeroed=-33.930 filtered=-12.765 eff=-7.765 adm_vx=-0.059 cmd_vx=0.441,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471503467336309,1780471503.467336416,1780471503,466884188,20,laica_velocity_predictor,Admittance force raw=-18.136 zeroed=-18.587 filtered=-13.457 eff=-8.457 adm_vx=-0.063 cmd_vx=0.437,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471504446890234,1780471504.446890116,1780471504,446302266,20,laica_velocity_predictor,Admittance force raw=-7.832 zeroed=-8.283 filtered=-13.313 eff=-8.313 adm_vx=-0.127 cmd_vx=0.373,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471504467453044,1780471504.467453003,1780471504,466980730,20,laica_velocity_predictor,Admittance force raw=-9.785 zeroed=-10.237 filtered=-12.950 eff=-7.950 adm_vx=-0.125 cmd_vx=0.375,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471505447438138,1780471505.447438240,1780471505,446348351,20,laica_velocity_predictor,Admittance force raw=-30.223 zeroed=-30.674 filtered=-32.201 eff=-27.201 adm_vx=-0.294 cmd_vx=0.206,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471505467468343,1780471505.467468262,1780471505,466987261,20,laica_velocity_predictor,Admittance force raw=-35.035 zeroed=-35.486 filtered=-32.588 eff=-27.588 adm_vx=-0.298 cmd_vx=0.202,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471506446908233,1780471506.446908236,1780471506,446417199,20,laica_velocity_predictor,Admittance force raw=-56.180 zeroed=-56.632 filtered=-48.720 eff=-43.720 adm_vx=-0.458 cmd_vx=0.042,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471506469018744,1780471506.469018698,1780471506,467112016,20,laica_velocity_predictor,Admittance force raw=-64.786 zeroed=-65.237 filtered=-50.669 eff=-45.669 adm_vx=-0.467 cmd_vx=0.033,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471506816610541,1780471506.816610575,1780471506,816282395,20,unitree_ros_node,Robot battery level is at: 28%,/home/artemis/Documents/LAICA_ws/src/unitree_ros/src/unitree_ros.cpp,check_robot_battery_callback_,156
1780471507446970019,1780471507.446969986,1780471507,446463431,20,laica_velocity_predictor,Admittance force raw=-32.091 zeroed=-32.543 filtered=-33.788 eff=-28.788 adm_vx=-0.411 cmd_vx=0.089,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471507469003533,1780471507.469003439,1780471507,467116391,20,laica_velocity_predictor,Admittance force raw=-22.070 zeroed=-22.522 filtered=-32.463 eff=-27.463 adm_vx=-0.406 cmd_vx=0.094,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471508308602870,1780471508.308602810,1780471508,308222401,30,arduino_sensor_pub,Arduino parse errors: 1,/home/artemis/Documents/LAICA_ws/src/LAICA_enclc/src/arduino_sensor_pub.cpp,publishSensorData,339
1780471508447016389,1780471508.447016478,1780471508,446537772,20,laica_velocity_predictor,Admittance force raw=-4.973 zeroed=-5.424 filtered=-9.699 eff=-4.699 adm_vx=-0.080 cmd_vx=0.420,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471508467797004,1780471508.467797041,1780471508,467216109,20,laica_velocity_predictor,Admittance force raw=-5.114 zeroed=-5.566 filtered=-9.210 eff=-4.210 adm_vx=-0.078 cmd_vx=0.422,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471509446996366,1780471509.446996450,1780471509,446586360,20,laica_velocity_predictor,Admittance force raw=-6.445 zeroed=-6.896 filtered=-7.471 eff=-2.471 adm_vx=-0.023 cmd_vx=0.477,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471509467655407,1780471509.467655420,1780471509,467241720,20,laica_velocity_predictor,Admittance force raw=-7.804 zeroed=-8.255 filtered=-7.559 eff=-2.559 adm_vx=-0.024 cmd_vx=0.476,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471510447084583,1780471510.447084665,1780471510,446620718,20,laica_velocity_predictor,Admittance force raw=-44.546 zeroed=-44.998 filtered=-36.762 eff=-31.762 adm_vx=-0.262 cmd_vx=0.259,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471510488179132,1780471510.488179207,1780471510,487271530,20,laica_velocity_predictor,Admittance force raw=-50.208 zeroed=-50.659 filtered=-39.743 eff=-34.743 adm_vx=-0.287 cmd_vx=0.239,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471511447229644,1780471511.447229624,1780471511,446686575,20,laica_velocity_predictor,Admittance force raw=-17.824 zeroed=-18.276 filtered=-14.896 eff=-9.896 adm_vx=-0.220 cmd_vx=0.280,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471511487983439,1780471511.487983465,1780471511,487336652,20,laica_velocity_predictor,Admittance force raw=-7.634 zeroed=-8.085 filtered=-13.787 eff=-8.787 adm_vx=-0.204 cmd_vx=0.296,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471512447239668,1780471512.447239637,1780471512,446721400,20,laica_velocity_predictor,Admittance force raw=2.953 zeroed=2.502 filtered=-3.159 eff=0.000 adm_vx=-0.007 cmd_vx=0.493,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471512487710344,1780471512.487710238,1780471512,487379222,20,laica_velocity_predictor,Admittance force raw=0.547 zeroed=0.095 filtered=-2.133 eff=0.000 adm_vx=-0.006 cmd_vx=0.494,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471513447174626,1780471513.447174549,1780471513,446785356,20,laica_velocity_predictor,Admittance force raw=8.841 zeroed=8.389 filtered=2.709 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471513487754555,1780471513.487754583,1780471513,487418249,20,laica_velocity_predictor,Admittance force raw=-6.983 zeroed=-7.434 filtered=1.551 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471514447663447,1780471514.447663546,1780471514,446890221,20,laica_velocity_predictor,Admittance force raw=-3.982 zeroed=-4.434 filtered=0.280 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471514487860220,1780471514.487860203,1780471514,487470439,20,laica_velocity_predictor,Admittance force raw=-3.416 zeroed=-3.868 filtered=-1.166 eff=0.000 adm_vx=0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471515447343818,1780471515.447343826,1780471515,446932531,20,laica_velocity_predictor,Admittance force raw=-7.690 zeroed=-8.142 filtered=-5.418 eff=-0.418 adm_vx=-0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
