bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,angle_deg,rev,rpm
1780471462356574122,1780471462.356574059,1780471462,355767070,encoder,0.0,0.0,0
1780471462366089033,1780471462.366089106,1780471462,365809658,encoder,0.0,0.0,0
1780471462376035135,1780471462.376035213,1780471462,375574822,encoder,0.0,0.0,0
1780471462386234723,1780471462.386234760,1780471462,385582144,encoder,0.0,0.0,0
1780471462396155928,1780471462.396155834,1780471462,395582361,encoder,0.0,0.0,0
1780471462406007721,1780471462.406007767,1780471462,405585554,encoder,0.0,0.0,0
1780471462416291570,1780471462.416291475,1780471462,415590796,encoder,0.0,0.0,0
1780471462426096064,1780471462.426095963,1780471462,425687050,encoder,0.0,0.0,0
1780471462436264450,1780471462.436264515,1780471462,435586366,encoder,0.0,0.0,0
1780471462445976364,1780471462.445976257,1780471462,445583575,encoder,0.0,0.0,0
1780471462456387259,1780471462.456387281,1780471462,455662132,encoder,0.0,0.0,0
1780471462466270574,1780471462.466270685,1780471462,465579273,encoder,0.0,0.0,0
1780471462476012314,1780471462.476012230,1780471462,475589507,encoder,0.0,0.0,0
1780471462485954384,1780471462.485954285,1780471462,485584828,encoder,0.0,0.0,0
1780471462496031245,1780471462.496031284,1780471462,495585333,encoder,0.0,0.0,0
1780471462506430780,1780471462.506430864,1780471462,505687476,encoder,0.0,0.0,0
1780471462516994611,1780471462.516994715,1780471462,515592712,encoder,0.0,0.0,0
1780471462525960853,1780471462.525960922,1780471462,525597441,encoder,0.0,0.0,0
1780471462536361699,1780471462.536361694,1780471462,535593210,encoder,0.0,0.0,0
1780471462546743473,1780471462.546743393,1780471462,545597843,encoder,0.0,0.0,0
1780471462556299410,1780471462.556299448,1780471462,555585804,encoder,0.0,0.0,0
1780471462566217863,1780471462.566217899,1780471462,565589765,encoder,0.0,0.0,0
1780471462576667736,1780471462.576667786,1780471462,575603839,encoder,0.0,0.0,0
1780471462586485704,1780471462.586485624,1780471462,585593144,encoder,0.0,0.0,0
1780471462596300663,1780471462.596300602,1780471462,595604882,encoder,0.0,0.0,0
