bag_time_ns,bag_time_sec,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1780471461224290396,1780471461.224290371,0.23392162465839372,0.0,0.0,0.0,0.0,0.0
1780471461246223606,1780471461.246223688,0.23782417315806736,0.0,0.0,0.0,0.0,0.0
1780471461264477738,1780471461.264477730,0.24147065486569774,0.0,0.0,0.0,0.0,0.0
1780471461284420601,1780471461.284420490,0.24579273625343706,0.0,0.0,0.0,0.0,0.0
1780471461304424011,1780471461.304424047,0.2500637881325849,0.0,0.0,0.0,0.0,0.0
1780471461324325592,1780471461.324325562,0.25410477105704943,0.0,0.0,0.0,0.0,0.0
1780471461346245201,1780471461.346245289,0.25771313300037024,0.0,0.0,0.0,0.0,0.0
1780471461364383104,1780471461.364383221,0.26108754089621355,0.0,0.0,0.0,0.0,0.0
1780471461384326127,1780471461.384326220,0.2635367500856226,0.0,0.0,0.0,0.0,0.0
1780471461404353858,1780471461.404353857,0.26619739046606095,0.0,0.0,0.0,0.0,0.0
1780471461424361173,1780471461.424361229,0.2700061032492885,0.0,0.0,0.0,0.0,0.0
1780471461444504111,1780471461.444504023,0.27494647522829935,0.0,0.0,0.0,0.0,0.0
1780471461464387994,1780471461.464387894,0.28048320077691236,0.0,0.0,0.0,0.0,0.0
1780471461484768993,1780471461.484769106,0.28597656611293665,0.0,0.0,0.0,0.0,0.0
1780471461504352861,1780471461.504352808,0.2910205338077163,0.0,0.0,0.0,0.0,0.0
1780471461524736739,1780471461.524736643,0.2954571429172236,0.0,0.0,0.0,0.0,0.0
1780471461544338816,1780471461.544338703,0.29971130526935674,0.0,0.0,0.0,0.0,0.0
1780471461564334514,1780471461.564334631,0.3040964613968944,0.0,0.0,0.0,0.0,0.0
1780471461584404680,1780471461.584404707,0.3086763854167408,0.0,0.0,0.0,0.0,0.0
1780471461604439196,1780471461.604439259,0.3135059915361431,0.0,0.0,0.0,0.0,0.0
1780471461624353993,1780471461.624353886,0.31824264047635065,0.0,0.0,0.0,0.0,0.0
1780471461644339419,1780471461.644339323,0.32256210464394786,0.0,0.0,0.0,0.0,0.0
1780471461664386607,1780471461.664386511,0.32642064808256777,0.0,0.0,0.0,0.0,0.0
1780471461684320414,1780471461.684320450,0.3301015943096885,0.0,0.0,0.0,0.0,0.0
1780471461704360658,1780471461.704360723,0.3344143292530496,0.0,0.0,0.0,0.0,0.0
1780471461724444681,1780471461.724444628,0.33861123590069175,0.0,0.0,0.0,0.0,0.0
1780471461744351958,1780471461.744351864,0.34369454005355904,0.0,0.0,0.0,0.0,0.0
1780471461764282756,1780471461.764282703,0.34987939983240535,0.0,0.0,0.0,0.0,0.0
1780471461785254091,1780471461.785254002,0.3569053777367913,0.0,0.0,0.0,0.0,0.0
1780471461804675582,1780471461.804675579,0.3637342604160658,0.0,0.0,0.0,0.0,0.0
1780471461824464036,1780471461.824464083,0.369475966651555,0.0,0.0,0.0,0.0,0.0
1780471461844409236,1780471461.844409227,0.3746600386886284,0.0,0.0,0.0,0.0,0.0
1780471461864464937,1780471461.864464998,0.3799571648921237,0.0,0.0,0.0,0.0,0.0
1780471461884469211,1780471461.884469271,0.3855585000111251,0.0,0.0,0.0,0.0,0.0
1780471461904426827,1780471461.904426813,0.3915381408692126,0.0,0.0,0.0,0.0,0.0
1780471461924466079,1780471461.924466133,0.3979039020155604,0.0,0.0,0.0,0.0,0.0
1780471461944595032,1780471461.944595098,0.4044680104847751,0.0,0.0,0.0,0.0,0.0
1780471461964536455,1780471461.964536428,0.41076185375836916,0.0,0.0,0.0,0.0,0.0
1780471461984464565,1780471461.984464645,0.4161253332696302,0.0,0.0,0.0,0.0,0.0
1780471462004447398,1780471462.004447460,0.42085274998854316,0.0,0.0,0.0,0.0,0.0
1780471462024356980,1780471462.024357080,0.4256096483417443,0.0,0.0,0.0,0.0,0.0
1780471462044777021,1780471462.044776917,0.42968157749871216,0.0,0.0,0.0,0.0,0.0
1780471462064581669,1780471462.064581633,0.4335239618050974,0.0,0.0,0.0,0.0,0.0
1780471462084616729,1780471462.084616661,0.43773060973796163,0.0,0.0,0.0,0.0,0.0
1780471462104569129,1780471462.104569197,0.44159348335653414,0.0,0.0,0.0,0.0,0.0
1780471462124505720,1780471462.124505758,0.4445314899359722,0.0,0.0,0.0,0.0,0.0
1780471462144345825,1780471462.144345760,0.446047708822864,0.0,0.0,0.0,0.0,0.0
1780471462164640452,1780471462.164640427,0.44730205187684635,0.0,0.0,0.0,0.0,0.0
1780471462184351526,1780471462.184351444,0.44847065448298123,0.0,0.0,0.0,0.0,0.0
1780471462204393531,1780471462.204393625,0.44994711264948284,0.0,0.0,0.0,0.0,0.0
1780471462224437392,1780471462.224437475,0.4518029496409368,0.0,0.0,0.0,0.0,0.0
1780471462244504902,1780471462.244504929,0.4540958391403483,0.0,0.0,0.0,0.0,0.0
1780471462264416595,1780471462.264416695,0.45667466866577533,0.0,0.0,0.0,0.0,0.0
1780471462284538700,1780471462.284538746,0.45794847067316335,0.0,0.0,0.0,0.0,0.0
1780471462305421710,1780471462.305421591,0.4581478328944029,0.0,0.0,0.0,0.0,0.0
1780471462316320375,1780471462.316320419,0.4542123769524269,0.0,0.0,0.0,0.0,0.0
1780471462316398268,1780471462.316398382,0.4567574716012318,0.0,0.0,0.0,0.0,0.0
1780471462316421981,1780471462.316421986,0.4580224056662523,0.0,0.0,0.0,0.0,0.0
1780471462316442526,1780471462.316442490,0.4582251085063782,0.0,0.0,0.0,0.0,0.0
1780471462324474093,1780471462.324474096,0.4575248004595058,0.0,0.0,0.0,0.0,0.0
1780471462324996201,1780471462.324996233,0.4576062444663634,0.0,0.0,0.0,0.0,0.0
1780471462344347609,1780471462.344347715,0.45637908078153416,0.0,0.0,0.0,0.0,0.0
1780471462346317091,1780471462.346317053,0.4564676609992278,0.0,0.0,0.0,0.0,0.0
1780471462364519700,1780471462.364519596,0.45464472680386553,0.0,0.0,0.0,0.0,0.0
1780471462364841574,1780471462.364841461,0.45471953042708235,0.0,0.0,0.0,0.0,0.0
1780471462384332125,1780471462.384332180,0.45310312685925724,0.0,0.0,0.0,0.0,0.0
1780471462385004993,1780471462.385004997,0.4531759930561857,0.0,0.0,0.0,0.0,0.0
1780471462404451318,1780471462.404451370,0.45264188331625577,0.0,0.0,0.0,0.0,0.0
1780471462405001203,1780471462.405001163,0.4527124175505949,0.0,0.0,0.0,0.0,0.0
1780471462424475593,1780471462.424475670,0.4530501346285357,0.0,0.0,0.0,0.0,0.0
1780471462425058920,1780471462.425058842,0.45312238457398873,0.0,0.0,0.0,0.0,0.0
1780471462444508125,1780471462.444508076,0.45299069480806997,0.0,0.0,0.0,0.0,0.0
1780471462445116862,1780471462.445116758,0.4530640171363697,0.0,0.0,0.0,0.0,0.0
1780471462464373896,1780471462.464373827,0.45179186066202187,0.0,0.0,0.0,0.0,0.0
1780471462464989193,1780471462.464989185,0.45186174593800926,0.0,0.0,0.0,0.0,0.0
1780471462484356826,1780471462.484356880,0.44996180624564286,0.0,0.0,0.0,0.0,0.0
1780471462484892055,1780471462.484892130,0.4500330756496837,0.0,0.0,0.0,0.0,0.0
1780471462504639387,1780471462.504639387,0.44815696397976873,0.0,0.0,0.0,0.0,0.0
1780471462505371971,1780471462.505372047,0.44820241946776773,0.0,0.0,0.0,0.0,0.0
1780471462524454468,1780471462.524454355,0.4473109039116285,0.0,0.0,0.0,0.0,0.0
1780471462524940606,1780471462.524940491,0.4473569254333092,0.0,0.0,0.0,0.0,0.0
1780471462545302244,1780471462.545302153,0.44750396659761854,0.0,0.0,0.0,0.0,0.0
1780471462546658796,1780471462.546658754,0.44752295705161266,0.0,0.0,0.0,0.0,0.0
1780471462564686549,1780471462.564686537,0.44879307652071343,0.0,0.0,0.0,0.0,0.0
1780471462565432637,1780471462.565432549,0.4488287863598034,0.0,0.0,0.0,0.0,0.0
1780471462584535455,1780471462.584535360,0.45101018444720536,0.0,0.0,0.0,0.0,0.0
1780471462585052219,1780471462.585052252,0.4510475472464861,0.0,0.0,0.0,0.0,0.0
1780471462604672377,1780471462.604672432,0.4538069648225173,0.0,0.0,0.0,0.0,0.0
1780471462605188661,1780471462.605188608,0.4538399829417881,0.0,0.0,0.0,0.0,0.0
1780471462624789617,1780471462.624789715,0.45537944605889413,0.0,0.0,0.0,0.0,0.0
1780471462625198407,1780471462.625198364,0.4554090856008029,0.0,0.0,0.0,0.0,0.0
1780471462644623099,1780471462.644623041,0.4574719625341591,0.0,0.0,0.0,0.0,0.0
1780471462645469288,1780471462.645469189,0.4575032676891342,0.0,0.0,0.0,0.0,0.0
1780471462664628877,1780471462.664628983,0.4595228826918156,0.0,0.0,0.0,0.0,0.0
1780471462665381974,1780471462.665381908,0.45955208190154906,0.0,0.0,0.0,0.0,0.0
1780471462684604639,1780471462.684604645,0.4622138893339855,0.0,0.0,0.0,0.0,0.0
1780471462685320485,1780471462.685320377,0.46223659521782,0.0,0.0,0.0,0.0,0.0
1780471462704534445,1780471462.704534531,0.46479120842090665,0.0,0.0,0.0,0.0,0.0
1780471462705745710,1780471462.705745697,0.46481403127044457,0.0,0.0,0.0,0.0,0.0
1780471462724809486,1780471462.724809408,0.4676115695181737,0.0,0.0,0.0,0.0,0.0
1780471462725763841,1780471462.725763798,0.46762735298601565,0.0,0.0,0.0,0.0,0.0
1780471462744592053,1780471462.744591951,0.47020005923041364,0.0,0.0,0.0,0.0,0.0
1780471462745216630,1780471462.745216608,0.4702200595092304,0.0,0.0,0.0,0.0,0.0
1780471462764491042,1780471462.764491081,0.47258375530057517,0.0,0.0,0.0,0.0,0.0
1780471462765176807,1780471462.765176773,0.47260591446285843,0.0,0.0,0.0,0.0,0.0
1780471462784478259,1780471462.784478188,0.4742793562767594,0.0,0.0,0.0,0.0,0.0
1780471462785277246,1780471462.785277128,0.47430165675058067,0.0,0.0,0.0,0.0,0.0
1780471462804436388,1780471462.804436445,0.47400985359151404,0.0,0.0,0.0,0.0,0.0
1780471462804967616,1780471462.804967642,0.47403860833752487,0.0,0.0,0.0,0.0,0.0
1780471462824446678,1780471462.824446678,0.4740589559010931,0.0,0.0,0.0,0.0,0.0
1780471462825028502,1780471462.825028419,0.47409003769097735,0.0,0.0,0.0,0.0,0.0
